Sample in Buffer,Sample in Window,TRIGGER,cpu/if_pc/ex_alu/data1[31:0],cpu/register_file/_register_reg[31]_31[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
347,347,0,bfae0010,bfc00aa8
348,348,0,bfaffff0,bfc00aa8
349,349,0,00000000,bfc00aa8
350,350,0,00000000,bfc00aa8
351,351,0,d1b00f65,bfc00aa8
352,352,0,ffffff01,bfc00aa8
353,353,0,ffff4051,bfc00aa8
354,354,0,bfae0010,bfc00aa8
355,355,0,bfaffff0,bfc00aa8
356,356,0,00000000,bfc00aa8
357,357,0,00000000,bfc00aa8
358,358,0,d1b00f66,bfc00aa8
359,359,0,ffffff01,bfc00aa8
360,360,0,ffff4051,bfc00aa8
361,361,0,bfae0010,bfc00aa8
362,362,0,bfaffff0,bfc00aa8
363,363,0,00000000,bfc00aa8
364,364,0,00000000,bfc00aa8
365,365,0,d1b00f67,bfc00aa8
366,366,0,ffffff01,bfc00aa8
367,367,0,ffff4051,bfc00aa8
368,368,0,bfae0010,bfc00aa8
369,369,0,bfaffff0,bfc00aa8
370,370,0,00000000,bfc00aa8
371,371,0,00000000,bfc00aa8
372,372,0,d1b00f68,bfc00aa8
373,373,0,ffffff01,bfc00aa8
374,374,0,ffff4051,bfc00aa8
375,375,0,bfae0010,bfc00aa8
376,376,0,bfaffff0,bfc00aa8
377,377,0,00000000,bfc00aa8
378,378,0,00000000,bfc00aa8
379,379,0,d1b00f69,bfc00aa8
380,380,0,ffffff01,bfc00aa8
381,381,0,ffff4051,bfc00aa8
382,382,0,bfae0010,bfc00aa8
383,383,0,bfaffff0,bfc00aa8
384,384,0,00000000,bfc00aa8
385,385,0,00000000,bfc00aa8
386,386,0,d1b00f6a,bfc00aa8
387,387,0,ffffff01,bfc00aa8
388,388,0,ffff4051,bfc00aa8
389,389,0,bfae0010,bfc00aa8
390,390,0,bfaffff0,bfc00aa8
391,391,0,00000000,bfc00aa8
392,392,0,00000000,bfc00aa8
393,393,0,d1b00f6b,bfc00aa8
394,394,0,ffffff01,bfc00aa8
395,395,0,ffff4051,bfc00aa8
396,396,0,bfae0010,bfc00aa8
397,397,0,bfaffff0,bfc00aa8
398,398,0,00000000,bfc00aa8
399,399,0,00000000,bfc00aa8
400,400,0,d1b00f6c,bfc00aa8
401,401,0,ffffff01,bfc00aa8
402,402,0,ffff4051,bfc00aa8
403,403,0,bfae0010,bfc00aa8
404,404,0,bfaffff0,bfc00aa8
405,405,0,00000000,bfc00aa8
406,406,0,00000000,bfc00aa8
407,407,0,d1b00f6d,bfc00aa8
408,408,0,ffffff01,bfc00aa8
409,409,0,ffff4051,bfc00aa8
410,410,0,bfae0010,bfc00aa8
411,411,0,bfaffff0,bfc00aa8
412,412,0,00000000,bfc00aa8
413,413,0,00000000,bfc00aa8
414,414,0,d1b00f6e,bfc00aa8
415,415,0,ffffff01,bfc00aa8
416,416,0,ffff4051,bfc00aa8
417,417,0,bfae0010,bfc00aa8
418,418,0,bfaffff0,bfc00aa8
419,419,0,00000000,bfc00aa8
420,420,0,00000000,bfc00aa8
421,421,0,d1b00f6f,bfc00aa8
422,422,0,ffffff01,bfc00aa8
423,423,0,ffff4051,bfc00aa8
424,424,0,bfae0010,bfc00aa8
425,425,0,bfaffff0,bfc00aa8
426,426,0,00000000,bfc00aa8
427,427,0,00000000,bfc00aa8
428,428,0,d1b00f70,bfc00aa8
429,429,0,ffffff01,bfc00aa8
430,430,0,ffff4051,bfc00aa8
431,431,0,bfae0010,bfc00aa8
432,432,0,bfaffff0,bfc00aa8
433,433,0,00000000,bfc00aa8
434,434,0,00000000,bfc00aa8
435,435,0,d1b00f71,bfc00aa8
436,436,0,ffffff01,bfc00aa8
437,437,0,ffff4051,bfc00aa8
438,438,0,bfae0010,bfc00aa8
